category,location_type,location,context,outcome_status,persistent_id,id,location_subtype,month
anti-social-behaviour,Force,"{'latitude': '51.656507', 'street': {'id': 1936096, 'name': 'On or near Corfe Close'}, 'longitude': '-0.256617'}",,,,118832070,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.639302', 'street': {'id': 1934825, 'name': 'On or near Elstree Hill South'}, 'longitude': '-0.302410'}",,,,118832134,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.667752', 'street': {'id': 1935491, 'name': 'On or near Welham Close'}, 'longitude': '-0.280682'}",,,,118832129,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.651977', 'street': {'id': 1936150, 'name': 'On or near Howard Drive'}, 'longitude': '-0.253119'}",,,,118832020,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.656000', 'street': {'id': 1935400, 'name': 'On or near Park Crescent'}, 'longitude': '-0.284452'}",,,,118832991,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.666561', 'street': {'id': 1935458, 'name': 'On or near Barnsdale Close'}, 'longitude': '-0.282246'}",,,,118832989,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.661490', 'street': {'id': 1935612, 'name': 'On or near Aberford Road'}, 'longitude': '-0.276770'}",,,,118832754,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.655815', 'street': {'id': 1935600, 'name': 'On or near Keystone Passage'}, 'longitude': '-0.276725'}",,,,118832753,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.659177', 'street': {'id': 1936146, 'name': 'On or near Parking Area'}, 'longitude': '-0.253551'}",,,,118833227,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.657045', 'street': {'id': 1935999, 'name': 'On or near Durham Road'}, 'longitude': '-0.260124'}",,,,118832752,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.649703', 'street': {'id': 1935635, 'name': 'On or near Auden Drive'}, 'longitude': '-0.275684'}",,,,118833226,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.668102', 'street': {'id': 1935640, 'name': 'On or near Digswell Close'}, 'longitude': '-0.275131'}",,,,118832584,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.667233', 'street': {'id': 1935420, 'name': 'On or near Baldock Way'}, 'longitude': '-0.283363'}",,,,118832560,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.650761', 'street': {'id': 1936005, 'name': 'On or near Parking Area'}, 'longitude': '-0.260220'}",,,,118832702,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.649703', 'street': {'id': 1935635, 'name': 'On or near Auden Drive'}, 'longitude': '-0.275684'}",,,,118833223,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.661422', 'street': {'id': 1935632, 'name': 'On or near Canterbury Road'}, 'longitude': '-0.275196'}",,,,118833311,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.662997', 'street': {'id': 1935257, 'name': 'On or near The Pines'}, 'longitude': '-0.286979'}",,,,118832670,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.656353', 'street': {'id': 1935681, 'name': 'On or near B5378'}, 'longitude': '-0.274753'}",,,,118832659,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.659038', 'street': {'id': 1935782, 'name': 'On or near Shenley Road'}, 'longitude': '-0.270241'}",,,,118833201,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.654217', 'street': {'id': 1935476, 'name': 'On or near Parking Area'}, 'longitude': '-0.280573'}",,,,118833141,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.655573', 'street': {'id': 1935978, 'name': 'On or near Kenilworth Close'}, 'longitude': '-0.262147'}",,,,118832645,,2024-05
